cycle,range_bin,doppler_bin,output_hex
1157855000,26,13,00a00290
1157865000,26,14,fdc2fed6
1157875000,26,15,023801c9
1157885000,26,16,fe55fe33
1157895000,26,17,0153015f
1157905000,26,18,fe5dfef1
1157915000,26,19,007600db
1157925000,26,20,012ffe49
1157935000,26,21,fea60136
1157945000,26,22,015e00d8
1157955000,26,23,feacfd3f
1157965000,26,24,00e90334
1157975000,26,25,fee3fd4d
1157985000,26,26,01cc01ee
1157995000,26,27,fefcff26
1158005000,26,28,fede023b
1158015000,26,29,0224fcae
1158025000,26,30,ff8200ac
1158035000,26,31,feb600bf
1162315000,27,0,01d201ce
1162325000,27,1,ff8cff8a
1162335000,27,2,000b0004
1162345000,27,3,ff6201d7
1162355000,27,4,ffb5febb
1162365000,27,5,030c008e
1162375000,27,6,fbecffcc
1162385000,27,7,01d5ff28
1162395000,27,8,0098ff17
1162405000,27,9,ffc202de
1162415000,27,10,ffa5fcdd
1162425000,27,11,00710194
1162435000,27,12,ff21ffd2
1162445000,27,13,01b70013
1162455000,27,14,fd460060
1162465000,27,15,01edff46
1162475000,27,16,fe6600f6
1162485000,27,17,025cfed0
1162495000,27,18,fe59ffa2
1162505000,27,19,ff6801df
1162515000,27,20,00d9fd63
1162525000,27,21,ff980236
1162535000,27,22,01140026
1162545000,27,23,ff13ff9a
1162555000,27,24,ffcc0035
1162565000,27,25,0002ffa4
1162575000,27,26,01ab0035
1162585000,27,27,fe1dff46
1162595000,27,28,012d0180
1162605000,27,29,fea9feb5
1162615000,27,30,02de0206
1162625000,27,31,fcd3fc70
1166905000,28,0,013b0085
1166915000,28,1,ffae001b
1166925000,28,2,ff8dff4e
1166935000,28,3,016d0126
1166945000,28,4,fd67ff8a
1166955000,28,5,03c7006f
1166965000,28,6,fe9d008f
1166975000,28,7,fe64fea1
1166985000,28,8,00900131
1166995000,28,9,0056ff45
1167005000,28,10,ff71fe7e
1167015000,28,11,023f0519
1167025000,28,12,fda6fa76
